income_group,age_group,sample_records,email_pct,financial_services_pct,government_services_pct,education_job_training_pct
Under $25k,18-64,2998,87.8,66.0,31.1,20.0
Under $25k,65+,1810,74.1,47.3,21.0,3.6
"$25k-$49,999",18-64,4565,90.3,75.0,32.5,23.6
"$25k-$49,999",65+,3015,83.5,56.8,29.8,5.5
"$50k-$74,999",18-64,4462,94.2,81.2,38.4,27.7
"$50k-$74,999",65+,2185,88.4,66.4,37.5,8.8
"$75k-$99,999",18-64,3476,96.0,84.5,44.5,28.2
"$75k-$99,999",65+,1286,91.6,71.0,39.4,11.0
"$100k-$149,999",18-64,4393,97.5,86.9,47.9,32.2
"$100k-$149,999",65+,1206,93.9,74.1,45.5,13.9
$150k+,18-64,5405,98.1,90.7,54.3,35.7
$150k+,65+,1078,96.7,79.1,48.9,15.1
