income_group,age_group,sample_records,laptop_pct,smartphone_pct,home_internet_pct
Under $25k,18-64,5927,40.7,77.6,74.3
Under $25k,65+,3694,24.3,58.3,55.9
"$25k-$49,999",18-64,9577,46.8,80.9,78.6
"$25k-$49,999",65+,5813,36.3,67.0,70.5
"$50k-$74,999",18-64,9496,57.3,84.9,83.4
"$50k-$74,999",65+,4295,47.7,74.9,77.7
"$75k-$99,999",18-64,7926,62.4,85.7,85.1
"$75k-$99,999",65+,2659,50.7,76.8,80.6
"$100k-$149,999",18-64,10505,68.7,87.0,86.5
"$100k-$149,999",65+,2609,56.4,80.2,83.6
$150k+,18-64,13961,75.5,87.2,86.8
$150k+,65+,2408,59.8,82.1,83.9
