product_category,records,fixed_pct,repairable_pct,fixed_or_repairable_pct,end_of_life_pct,unknown_pct
Mobile,5188,55.0,26.4,81.5,15.5,3.0
Laptop,12304,54.8,26.5,81.3,15.4,3.3
Desktop computer,2371,54.2,20.6,74.8,18.2,7.0
Tablet,3749,42.9,28.8,71.8,24.4,3.8
Games console,1036,42.9,28.0,70.8,26.0,3.2
PC accessory,1928,49.9,20.4,70.3,24.6,5.0
Battery/charger/adapter,5461,56.4,13.0,69.4,27.4,3.3
TV and gaming-related accessories,5603,46.3,17.7,64.0,32.3,3.7
Printer/scanner,5630,40.3,21.3,61.5,35.6,2.8
Flat screen,3754,30.9,27.8,58.7,38.8,2.5
