hrhhid2,gestfips,hefaminc,hwhhwgt,helaptop,hedesktp,hetablet,hemphone,heinhome
15011,1,13,1518.1071,2,2,2,1,1
16011,1,16,1482.5576,2,1,2,1,1
16011,1,14,1601.6393,1,1,1,1,1
16011,1,11,1642.1899,1,2,2,1,1
16011,1,8,1722.0677,2,2,2,1,2
16011,1,14,3629.0875,2,2,2,1,1
16011,1,12,1770.2648,2,2,2,1,2
16011,1,14,4130.7609,2,2,2,1,1
16011,1,14,1609.0386,1,2,1,1,1
16011,1,12,2156.1582,1,2,1,1,1
16011,1,12,1989.4666,1,1,2,1,1
16011,1,12,1748.4251,1,1,2,1,1
16011,1,11,2273.8075,1,1,1,1,1
15011,1,4,1546.824,2,2,2,2,2
16011,1,3,1448.3192,2,2,1,1,1
15011,1,14,1749.1169,2,2,1,1,1
15011,1,9,2798.985,1,2,2,1,1
15011,1,10,2465.0884,1,2,2,1,1
16011,1,1,2339.81,1,2,2,1,1
16011,1,3,3656.0197,2,2,2,1,1
15011,1,10,1766.6294,2,2,2,1,1
15011,1,10,1660.2153,2,2,2,1,1
15011,1,12,1892.9656,2,2,2,1,1
15011,1,8,2295.3821,1,2,1,1,1
16011,1,15,2684.2339,1,2,1,1,1
16011,1,13,2627.7396,1,1,2,1,1
16011,1,14,2070.9739,1,2,1,1,1
16011,1,13,2119.3413,1,1,1,1,1
16011,1,4,1572.5941,2,2,2,1,2
15011,1,16,1850.044,1,2,1,1,1
15011,1,6,1922.0765,1,2,1,1,1
15011,1,9,1790.3498,1,2,1,1,1
15011,1,11,1726.8437,1,2,1,1,1
15011,1,12,1568.6222,1,1,2,1,1
15011,1,2,2563.3246,1,2,2,1,1
15011,1,10,2320.1663,1,1,2,1,1
16011,1,16,1892.2085,1,1,1,1,1
16011,1,7,2070.9739,2,1,1,1,1
15011,1,9,1685.796,1,1,2,1,1
15012,1,16,2695.6014,1,1,1,1,1
16011,1,13,2126.2744,1,1,2,1,1
16011,1,10,2212.451,2,2,2,2,2
16011,1,8,3389.562,2,2,2,2,2
16011,1,13,2355.5555,1,2,2,1,1
15011,1,16,1873.5048,1,1,1,1,1
15011,1,9,2748.5978,1,2,2,1,1
15011,1,13,2266.4604,1,2,1,1,1
15011,1,16,1996.9299,1,2,1,1,1
15011,1,10,1916.5907,2,2,2,2,2
15011,1,9,3621.3803,1,2,2,1,1
16011,1,6,1885.0401,1,2,2,1,1
16011,1,13,1885.0401,1,2,1,1,1
15012,1,13,2460.3428,1,2,1,1,1
15011,1,10,2295.3821,1,2,2,2,2
15011,1,4,2703.1796,1,2,2,2,2
16011,1,14,3213.6927,1,2,1,1,1
16011,1,8,3530.3944,1,2,2,1,1
16011,1,7,2773.4415,2,2,2,1,1
16011,1,2,2118.7476,2,2,2,2,2
15011,1,13,2666.0639,1,2,2,1,1
15011,1,8,1901.7108,2,2,1,2,2
16011,1,16,2085.9553,1,1,1,1,1
16011,1,16,2661.8582,1,1,1,1,1
16011,1,16,2085.9553,1,1,1,1,1
16011,1,12,2542.8319,1,2,2,1,1
16011,1,15,1831.6274,1,2,1,1,1
16011,1,11,1597.4947,1,2,2,1,2
16011,1,9,4344.8534,2,2,1,1,1
16011,1,3,2118.7476,2,2,2,2,2
15011,1,7,1483.0477,2,2,2,1,2
16011,1,13,2006.3679,1,2,1,1,1
16011,1,7,1503.3997,1,2,2,1,1
15011,1,16,2708.8922,1,1,1,1,1
15011,1,13,2425.4647,1,1,1,1,1
15011,1,14,2425.4647,1,1,2,1,1
15012,1,15,2366.7538,1,2,1,1,1
16011,1,2,2546.2726,1,1,1,1,1
16011,1,15,2627.7396,1,1,1,1,1
15011,9,9,2353.3203,2,2,2,2,2
15011,9,1,3019.3119,1,2,1,1,1
16011,9,16,2754.7629,2,2,2,2,2
16011,9,16,2936.9782,1,1,2,1,1
16011,9,12,2621.5087,2,2,2,1,1
16011,9,16,2020.6708,2,2,1,1,1
15011,9,13,3220.9778,1,1,1,1,1
