hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwprmwgt,pelaptop,pemphone,peinhome,peemail,pefinanc,peegovts,peedtrai
15011,1,65,2,40,13,5,1,2290.6477,2,1,1,2,2,2,2
16011,1,67,1,40,16,1,1,2674.7127,2,1,1,1,1,2,2
16011,1,53,1,39,14,1,1,3471.1766,1,1,1,1,1,1,2
16011,1,61,1,43,11,5,1,3069.3884,2,1,1,1,1,2,2
16011,1,54,1,39,14,1,2,6986.7297,2,1,1,2,2,2,2
16011,1,70,1,39,12,5,1,2801.9746,2,1,2,2,2,1,2
16011,1,53,1,39,14,5,2,6986.7297,2,1,1,2,2,1,2
16011,1,47,2,43,14,1,1,3406.385,2,1,1,1,1,2,1
16011,1,76,2,41,12,5,1,3253.3928,1,1,1,1,1,2,2
16011,1,72,2,39,12,5,1,3001.8745,1,1,1,1,1,2,2
16011,1,85,2,35,12,5,1,2638.1708,1,1,1,1,1,2,2
16011,1,37,2,39,11,1,1,4351.3858,1,1,1,1,1,2,2
16011,1,85,2,40,3,5,1,2185.3458,2,1,1,2,2,2,2
15011,1,48,2,43,14,6,1,3702.9351,2,1,1,2,2,2,2
15011,1,43,1,37,9,1,1,5468.1571,1,1,1,1,1,2,2
15011,1,67,1,42,10,5,1,3215.8574,1,1,1,2,2,2,2
16011,1,24,2,39,1,1,1,9515.8042,1,1,1,1,1,2,2
16011,1,31,2,40,3,1,2,6321.6011,2,1,1,2,2,2,2
15011,1,33,1,41,10,1,1,3235.4477,2,1,1,2,2,2,2
15011,1,60,2,37,10,6,1,2998.1271,2,1,1,1,2,2,2
15011,1,69,2,35,12,6,2,2716.0533,2,1,1,1,1,2,2
15011,1,59,2,40,8,1,1,4145.1536,1,1,1,1,1,2,2
16011,1,51,2,43,15,1,1,5682.607,1,1,1,1,1,2,2
16011,1,45,2,39,13,1,1,5563.0068,2,1,1,1,1,1,2
16011,1,73,2,43,14,1,1,3124.8596,1,1,1,1,1,2,2
16011,1,57,2,39,13,1,1,3827.2474,1,1,1,1,1,1,1
15011,1,46,2,43,16,1,1,3916.6009,2,1,1,2,2,2,2
15011,1,64,1,39,6,6,1,3349.1924,1,1,1,1,1,1,2
15011,1,80,2,44,9,5,1,2701.4303,1,1,1,1,1,1,2
15011,1,20,1,40,11,7,1,15960.68,1,1,1,1,1,2,1
15011,1,75,2,39,12,5,1,2366.8691,1,1,1,1,1,2,2
15011,1,35,2,39,2,1,2,4267.7319,1,1,1,1,2,2,2
15011,1,16,1,36,10,7,2,14832.9473,1,1,1,1,2,2,2
16011,1,62,1,44,16,1,1,4559.2731,1,1,1,1,1,2,2
16011,1,71,2,34,7,5,1,3124.8596,2,1,1,1,2,2,2
15011,1,72,1,40,9,5,1,3364.0801,1,1,1,1,2,1,2
15012,1,24,1,39,16,1,1,9119.4113,1,1,1,1,1,1,2
16011,1,22,2,42,13,1,1,7768.2317,1,1,1,1,1,1,1
16011,1,37,1,44,13,1,1,4326.9311,1,1,1,2,2,2,2
15011,1,64,2,43,16,5,1,3383.2995,1,1,1,1,1,2,2
15011,1,52,2,40,9,1,1,5818.8674,1,1,1,1,1,2,2
15011,1,23,1,43,13,1,1,7393.7326,1,1,1,1,1,2,2
15011,1,64,1,43,16,1,1,4519.0003,1,1,1,1,2,1,1
15011,1,29,1,39,9,1,2,6315.0458,1,1,1,1,1,2,2
16011,1,31,2,43,6,1,1,3609.8705,1,1,1,2,2,2,2
16011,1,31,2,43,13,1,1,3609.8705,1,1,1,2,2,2,2
15012,1,42,2,43,13,1,2,4096.2754,1,1,1,1,2,2,2
16011,1,18,2,39,14,1,2,6848.7293,1,1,1,1,1,1,2
16011,1,50,1,41,8,1,2,6796.7254,1,1,1,1,1,2,2
16011,1,26,2,39,7,1,2,4795.5406,2,1,1,1,1,2,2
15011,1,61,1,41,13,1,2,4039.676,1,1,1,1,1,2,2
16011,1,21,1,39,16,3,2,10854.0866,1,1,1,1,2,2,2
16011,1,38,1,44,16,1,2,6696.4163,1,1,1,1,2,2,2
16011,1,44,1,44,16,1,2,6568.8209,1,1,1,1,2,2,2
16011,1,54,1,40,12,1,2,4895.4673,1,1,1,1,1,2,2
16011,1,52,2,43,15,1,1,3877.6124,1,1,1,1,1,2,2
16011,1,66,1,42,11,1,1,2883.4138,1,1,2,1,1,2,2
16011,1,22,2,39,9,1,2,12222.4051,2,1,1,1,1,1,2
16011,1,52,1,39,13,1,1,4496.4532,1,1,1,1,1,2,2
16011,1,16,1,34,7,7,1,7439.8779,1,1,1,1,2,2,2
15011,1,69,1,43,16,5,2,3233.7719,1,1,2,1,1,2,2
15011,1,50,2,41,13,1,1,5818.8674,2,1,1,1,1,2,2
15011,1,62,1,43,14,1,1,4226.3396,1,1,1,1,2,2,1
15012,1,15,2,36,15,7,2,7796.2221,1,1,1,1,1,2,1
16011,1,69,1,43,2,5,1,3321.767,1,1,1,1,1,2,2
16011,1,46,2,43,15,1,1,5563.0068,1,1,1,1,1,2,1
15011,9,19,2,35,1,4,1,11815.0888,1,2,1,1,2,1,2
16011,9,48,1,44,16,1,1,5513.4798,1,1,1,1,1,1,1
16011,9,22,1,39,12,1,1,10245.8383,2,1,1,1,1,1,2
16011,9,71,2,40,16,5,1,3048.958,2,1,1,1,1,2,2
15011,9,36,1,43,13,1,1,5529.8204,2,1,1,1,1,2,2
15011,9,30,1,39,9,1,1,6866.8862,1,2,2,1,1,2,2
16011,9,53,2,43,8,7,1,6305.6571,2,1,1,1,1,1,2
16011,9,16,1,37,16,1,1,11750.4751,1,1,1,1,2,2,2
15011,9,49,2,43,14,1,1,6210.4519,1,1,1,1,1,1,2
15011,9,57,2,43,15,1,1,5040.4678,2,2,1,1,2,2,2
16011,9,69,2,39,15,1,1,3148.7101,1,1,1,1,1,1,2
16011,9,70,2,43,8,5,1,3817.3339,1,1,1,1,2,2,2
16011,9,71,2,39,9,6,1,5480.4977,2,1,1,1,2,2,2
15011,9,23,1,43,16,1,1,11916.6979,1,1,1,1,1,2,2
15011,9,61,1,39,15,1,1,5067.9471,2,1,1,1,1,1,2
15011,9,21,1,39,4,7,1,11916.6979,1,1,1,1,2,2,2
15011,9,19,2,40,12,7,1,10429.2078,1,1,1,1,1,2,1
16011,9,34,1,44,16,1,1,5438.4413,2,1,1,1,1,1,2
16011,9,58,2,42,11,1,1,7184.7266,2,2,1,1,2,2,2
16011,9,63,1,39,11,5,1,5937.6119,2,1,2,2,2,2,2
16011,9,74,1,45,16,5,1,5270.6358,1,1,1,1,1,1,2
16011,9,76,2,40,7,5,1,3758.0038,2,1,1,1,2,2,2
15011,9,20,2,41,12,1,3,20529.5045,1,2,1,1,1,2,2
16011,9,30,2,43,1,7,1,6168.205,2,1,1,1,1,2,2
