hrhhid2,gestfips,prtage,pesex,peeduca,hefaminc,pemlr,ptdtrace,pwsswgt,pwprmwgt,pelaptop,pedesktp,petablet,pemphone,peinhome
15011,1,73,1,40,13,5,1,1804.3773,0,2,2,2,2,2
15011,1,65,2,40,13,5,1,1518.1071,2290.6477,2,2,2,1,1
16011,1,67,1,40,16,1,1,1689.8618,2674.7127,2,1,2,1,1
16011,1,65,2,40,16,6,1,1482.5576,0,2,1,2,1,1
16011,1,53,1,39,14,1,1,1849.0627,3471.1766,1,1,1,1,1
16011,1,45,2,46,14,1,1,1601.6393,0,1,1,1,1,1
16011,1,12,1,-1,14,-1,1,3172.945,0,2,1,2,2,1
16011,1,11,1,-1,14,-1,1,3116.3504,0,2,1,2,2,1
16011,1,61,1,43,11,5,1,1761.4991,3069.3884,2,2,2,1,1
16011,1,62,2,44,11,5,1,1642.1899,0,1,2,2,1,1
16011,1,80,1,39,8,5,1,1722.0677,0,2,2,2,1,2
16011,1,54,1,39,14,1,2,3629.0875,6986.7297,2,2,2,1,1
16011,1,23,2,39,14,1,2,4942.5664,0,2,2,2,1,1
16011,1,70,1,39,12,5,1,1770.2648,2801.9746,2,2,2,1,2
16011,1,53,1,39,14,5,2,3629.0875,6986.7297,2,2,2,1,1
16011,1,30,2,40,14,1,2,4130.7609,0,2,2,2,1,1
16011,1,47,2,43,14,1,1,1609.0386,3406.385,2,2,1,1,1
16011,1,55,1,40,14,7,1,2139.7918,0,2,2,2,1,1
16011,1,10,2,-1,14,-1,1,2451.7435,0,1,2,2,1,1
16011,1,76,2,41,12,5,1,2156.1582,3253.3928,1,2,1,1,1
16011,1,72,2,39,12,5,1,1989.4666,3001.8745,1,1,2,1,1
16011,1,85,2,35,12,5,1,1748.4251,2638.1708,1,1,2,1,1
16011,1,41,2,39,12,7,1,1813.3944,0,2,1,2,1,1
16011,1,40,1,40,12,6,1,1964.323,0,1,2,2,1,1
16011,1,37,2,39,11,1,1,2273.8075,4351.3858,1,1,1,1,1
16011,1,39,1,39,11,1,1,2227.0507,0,1,1,2,1,1
16011,1,10,1,-1,11,-1,1,2557.3754,0,1,1,1,2,1
15011,1,76,2,39,4,6,1,1546.824,0,2,2,2,2,2
16011,1,85,2,40,3,5,1,1448.3192,2185.3458,2,2,1,1,1
15011,1,48,2,43,14,6,1,1749.1169,3702.9351,2,2,1,1,1
15011,1,50,1,42,14,1,1,1975.4364,0,2,2,2,1,1
15011,1,21,2,40,14,7,1,3172.8953,0,2,2,2,1,1
15011,1,18,1,39,14,7,1,2335.2913,0,2,2,1,1,1
15011,1,43,1,37,9,1,1,2798.985,5468.1571,1,2,2,1,1
15011,1,67,1,42,10,5,1,2031.7526,3215.8574,1,2,2,1,1
15011,1,65,2,44,10,5,1,2465.0884,0,1,2,2,1,1
